19-06-2026 20:20;2;30;3
19-06-2026 22:00;2;45;5
25-06-2026 14:18;3;120;5
25-06-2026 15:15;3;50;5
25-06-2026 16:19;3;64;5
26-06-2026 14:30;4;50;5
26-06-2026 16:46;4;50;5
29-06-2026 12:55;4;60;5
30-06-2026 15:43;4;80;5
30-06-2026 18:35;4;180;5
01-07-2026 12:31;0;80;5
01-07-2026 13:22;4;50;5
02-07-2026 13:10;4;60;5
02-07-2026 16:29;4;100;4
03-07-2026 16:20;4;50;5
03-07-2026 17:23;0;120;5
06-07-2026 12:25;5;50;5
11-07-2026 15:33;5;120;5
13-07-2026 13:15;5;60;5
13-07-2026 18:24;5;50;5
14-07-2026 12:31;0;60;5
14-07-2026 14:40;5;50;5
